id_partida,tipo_da_partida,numero_gols_Brasil,numero_gols_inimigo,time_inimigo
0,eliminatorias,5,0,bolivia
1,eliminatorias,4,2,peru
2,eliminatorias,1,0,venezuela
3,eliminatorias,2,0,uruguai
4,eliminatorias,2,0,equador
5,eliminatorias,2,0,paraguai
6,eliminatorias,1,0,chile
7,eliminatorias,2,0,peru
8,eliminatorias,1,0,chile
9,eliminatorias,2,0,peru
10,eliminatorias,3,1,venezuela
11,eliminatorias,0,0,colombia
12,eliminatorias,4,1,uruguai
13,eliminatorias,1,0,colombia
14,eliminatorias,0,0,argentina
15,eliminatorias,1,1,equador
16,eliminatorias,4,0,paraguai
17,eliminatorias,4,0,bolivia
18,fase_de_grupos,2,0,servia
19,fase_de_grupos,1,0,suica
20,fase_de_grupos,0,1,camaroes
21,oitavas,4,1,coreia_do_sul
22,quartas,3,5,croacia
